league_id,league_name,year,draft_type,num_teams,scoring_type,roster_size,num_starters,num_bench,ppr_points,keepers,num_rostered_qb,num_rostered_rb,num_rostered_rb_wr,num_rostered_wr,num_rostered_te,num_rostered_d_st,num_rostered_k,num_rostered_be,num_rostered_rb_wr_te,num_rostered_ir,num_rostered_wr_te,num_rostered_dt,num_rostered_de,num_rostered_lb,num_rostered_edr,num_rostered_cb,num_rostered_s,num_rostered_dp,num_rostered_p,num_rostered_hc,num_rostered_op,num_rostered_dl,num_rostered_db
626081,New England Colonials,2017,draft,10,head_to_head_points,20,10,10,0,1,1,2,0,2,1,1,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626082,Valley Boyz 2017,2017,draft,12,head_to_head_points,17,9,8,1,0,1,2,0,2,1,1,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
626086,Old No:7,2017,draft,9,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626099,Chilis Legends 2017,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626120,ANY GIVEN SUNDAY,2017,draft,12,head_to_head_points,14,9,5,0.5,0,1,2,0,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626133,Victorious Secret,2017,draft,8,head_to_head_points,18,10,8,1,0,1,2,1,2,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626156,Football Fantasy South,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626161,Minnesota 626161,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626168,Tampa Bay 626168,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626170,San Francisco PPR 626170,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626171,We punt on first down,2017,draft,12,head_to_head_points,28,18,10,1,0,1,1,0,1,1,1,1,10,1,0,0,1,1,2,0,2,1,0,1,0,0,1,2
626174,Sixburgh Steelers,2017,draft,12,head_to_head_points,15,9,6,0,0,1,2,0,2,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626206,DaBears,2017,draft,12,head_to_head_points,12,9,3,0,0,1,2,0,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626214,FFF-Fantasy Football Freaks VII,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626215,The 515,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626216,DPL,2017,draft,12,head_to_head_points,17,12,5,1,0,1,2,1,2,0,1,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
626219,New Trier Golf,2017,draft,10,head_to_head_points,18,10,8,0,0,2,2,0,2,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626223,The All-In Bluff,2017,draft,14,head_to_head_points,14,9,5,0,0,1,2,0,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626248,South Jerseys Finest,2017,draft,10,head_to_head_points,15,9,6,1,0,1,2,0,0,0,1,1,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
626260,Seattle 8-Team 626260,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626263,AWC,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626269,Alpha Kappa Lambda - Beta Phi,2017,draft,16,head_to_head_points,16,10,6,0,0,1,2,1,2,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626273,Division 1 GEICO FFL,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626274,Heart and Skull Bowl,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626282,Postal Prowess,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626285,VinoBandito,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626292,Arizona 8-Team 626292,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626298,league of Extraordinary Warriors,2017,draft,16,head_to_head_points,34,14,20,1,32,1,2,0,2,1,0,1,20,1,4,0,0,0,2,0,0,0,0,0,0,0,2,2
626305,bushleague,2017,draft,12,head_to_head_points,15,9,6,1,0,1,2,1,2,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626310,Last Minute League,2017,draft,10,head_to_head_points,17,10,7,0.25,0,1,2,0,3,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626317,ArmChairQuarterbacks,2017,draft,14,head_to_head_points,13,9,4,1,0,1,2,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626318,Not For Nothing: 2-2-0,2017,draft,12,head_to_head_points,16,10,6,0.5,0,1,2,0,3,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626320,C Dub Snubs Fantasy Land,2017,draft,10,head_to_head_points,16,9,7,1,3,1,2,0,2,1,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
626327,Ame for the Siouxers,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626328,The Weeknd,2017,draft,12,head_to_head_points,17,9,8,0,0,1,2,0,2,1,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626329,AR15s The League v70,2017,draft,10,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626334,Ochostinko,2017,draft,10,head_to_head_points,16,10,6,0,0,1,1,2,2,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
626338,Hosses n Bosses,2017,draft,12,head_to_head_points,17,9,8,1,2,1,2,0,2,1,1,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
